rank_count,vertical_optimization,horizontal_optimization,event_mode,coordination_mode,events_per_rank,total_events,wall_median_seconds,scheduler_rounds,total_grants,horizontal_speedup,speedup_vs_both_off
8,False,False,baseline,global,128,1024,0.26598400200600736,1025,1032,1.0,1.0
8,False,True,baseline,active,128,1024,0.2655496840015985,129,1032,1.0016355432921782,1.0016355432921782
8,True,False,aggregated,global,16,128,0.2664410739962477,129,136,1.0,0.9982845287951106
8,True,True,aggregated,active,16,128,0.2658745830121916,17,136,1.0021306699483574,1.0004115436405245
32,False,False,baseline,global,128,4096,0.3749674290011171,4096,4128,1.0,1.0
32,False,True,baseline,active,128,4096,0.3283770080015529,129,4128,1.1418808864941723,1.1418808864941723
32,True,False,aggregated,global,16,512,0.27189535897923633,513,544,1.0,1.379087272430244
32,True,True,aggregated,active,16,512,0.2728713350079488,17,544,0.9964233105368725,1.3741547055142096
64,False,False,baseline,global,128,8192,0.568037313001696,8186,8256,1.0,1.0
64,False,True,baseline,active,128,8192,0.37094506502035074,129,8256,1.5313246261155473,1.5313246261155473
64,True,False,aggregated,global,16,1024,0.3661505419877358,1023,1088,1.0,1.551376409052871
64,True,True,aggregated,active,16,1024,0.3674101160140708,17,1088,0.996571749194062,1.5460579016282223
128,False,False,baseline,global,128,16384,0.91565728400019,16349,16512,1.0,1.0
128,False,True,baseline,active,128,16384,0.5628823649894912,129,16512,1.6267293860188443,1.6267293860188443
128,True,False,aggregated,global,16,2048,0.5559378809994087,2046,2176,1.0,1.6470496350313713
128,True,True,aggregated,active,16,2048,0.4618904700037092,17,2176,1.2036140970714209,1.9824121593000974
256,False,False,baseline,global,128,32768,1.826238188019488,32654,33024,1.0,1.0
256,False,True,baseline,active,128,32768,0.8482740230101626,129,33024,2.1528870842218506,2.1528870842218506
256,True,False,aggregated,global,16,4096,0.8608683449856471,4090,4352,1.0,2.1213908011101696
256,True,True,aggregated,active,16,4096,0.6983951739966869,17,4352,1.232637877577503,2.6149066545928785
