workload,category,ranks,source_operations,vertical_optimization,horizontal_optimization,compute_federates,ranks_per_compute_federate,safe_frontier_coordination,wall_clock_seconds,wall_clock_median_seconds,startup_seconds,startup_median_seconds,steady_wall_clock_seconds,steady_wall_clock_median_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,asynchronous_grants_median,network_completion_count
LULESH-64,HPC,64,11438062,False,False,1,64,False,"[12.03873023900087,11.925121954991482,11.982266161008738]",11.982266161008738,"[1.0035119850072078,1.0029828840051778,1.0029230290092528]",1.0029828840051778,"[11.035218253993662,10.922139070986304,10.979343131999485]",10.979343131999485,1.0,8192,64051,64834,0,17032
LULESH-64,HPC,64,11438062,False,True,2,32,True,"[11.93743512799847,11.974543785996502,11.891187821980566]",11.93743512799847,"[1.0027695420139935,1.0028025500068907,1.0031271149928216]",1.0028025500068907,"[10.934665585984476,10.971741235989612,10.888060706987744]",10.934665585984476,1.0037554996135745,8192,61506,61525,0,17032
LULESH-64,HPC,64,11438062,True,False,1,64,False,"[4.771918568003457,4.636555537028471,4.671359530009795]",4.671359530009795,"[1.2033383589878213,1.203231808001874,1.2031104089983273]",1.203231808001874,"[3.5685802090156358,3.433323729026597,3.4682491210114677]",3.4682491210114677,2.565049014967087,1024,51974,51989,0,17032
LULESH-64,HPC,64,11438062,True,True,2,32,True,"[4.572251950012287,4.703842868999345,4.672108083002968]",4.672108083002968,"[1.2036649440124165,1.2038008930103388,1.2035058150067925]",1.2036649440124165,"[3.3685870059998706,3.5000419759890065,3.468602267996175]",3.468602267996175,2.564638049492043,1024,43351,47197,0,17032
HPCG-8,HPC,8,626216,False,False,1,8,False,"[1.7666802370222285,1.7669440090248827,1.766455250006402]",1.7666802370222285,"[0.4513581770006567,0.4515393380133901,0.4514682219887618]",0.4514682219887618,"[1.3153220600215718,1.3154046710114926,1.3149870280176401]",1.3153220600215718,1.0,1024,9315,9435,0,840
HPCG-8,HPC,8,626216,False,True,2,4,True,"[1.7174959279946052,1.7206125929951668,1.7980139160063118]",1.7206125929951668,"[0.45201947301393375,0.45200518300407566,0.4823504929954652]",0.45201947301393375,"[1.2654764549806714,1.2686074099910911,1.3156634230108466]",1.2686074099910911,1.026773978183473,1024,5028,5047,0,840
HPCG-8,HPC,8,626216,True,False,1,8,False,"[1.4162611119973008,1.4664755000267178,1.4176545460068155]",1.4176545460068155,"[0.45146475700312294,0.4517369030218106,0.45168516199919395]",0.45168516199919395,"[0.9647963549941778,1.0147385970049072,0.9659693840076216]",0.9659693840076216,1.2461993946258154,128,7898,7913,0,840
HPCG-8,HPC,8,626216,True,True,2,4,True,"[1.3666744910005946,1.3166226600005757,1.316409096994903]",1.3166226600005757,"[0.45178223997936584,0.4519305200083181,0.45175270998151973]",0.45178223997936584,"[0.9148922510212287,0.8646921399922576,0.8646563870133832]",0.8646921399922576,1.3418273061026127,128,2706,3255,0,840
ICON-8,HPC,8,295072,False,False,1,8,False,"[2.0673291530110873,2.0675126720161643,2.016984923015116]",2.0673291530110873,"[0.45151790301315486,0.45173968200106174,0.45124766501248814]",0.45151790301315486,"[1.6158112499979325,1.6157729900151026,1.5657372580026276]",1.6157729900151026,1.0,1024,23908,24051,0,707
ICON-8,HPC,8,295072,False,True,2,4,True,"[1.7174214400001802,1.6823788119945675,1.7169951599789783]",1.7169951599789783,"[0.4518591719970573,0.4516977329913061,0.45167052699252963]",0.4516977329913061,"[1.2655622680031229,1.2306810790032614,1.2653246329864487]",1.2653246329864487,1.2040390102418217,1024,4753,4768,0,707
ICON-8,HPC,8,295072,True,False,1,8,False,"[1.7169129510002676,1.6669649750110693,1.6666059139824938]",1.6669649750110693,"[0.4516982339846436,0.4517150340252556,0.4514768999943044]",0.4516982339846436,"[1.265214717015624,1.2152499409858137,1.2151290139881894]",1.2152499409858137,1.2401755189831505,128,22543,22554,0,707
ICON-8,HPC,8,295072,True,True,2,4,True,"[1.3164957239932846,1.3164371360035148,1.3477449489873834]",1.3164957239932846,"[0.45176859700586647,0.45178880501771346,0.45178734898217954]",0.45178734898217954,"[0.8647271269874182,0.8646483309858013,0.8959576000052039]",0.8647271269874182,1.570327282750546,128,2433,2976,0,707
HPCG-64,HPC,64,10370272,False,False,1,64,False,"[11.932813898980385,12.031936540995957,11.781394160992932]",11.932813898980385,"[1.0032627219916321,1.0026044659898616,1.0028485750081018]",1.0028485750081018,"[10.929551176988753,11.029332075006096,10.77854558598483]",10.929551176988753,1.0,8192,64027,64711,0,16920
