workload,category,ranks,source_operations,vertical_optimization,horizontal_optimization,wall_clock_median_seconds,speedup_vs_both_off,compute_dispatch_events,scheduler_rounds_median,total_grants_median,network_completion_count
LULESH-64,HPC,64,11438062,False,False,12.795489488984458,1.0,8192,64051,64834,17032
LULESH-64,HPC,64,11438062,False,True,23.206595169991488,0.5513729780373099,8192,61637,61842,17032
LULESH-64,HPC,64,11438062,True,False,5.285119523003232,2.4210407036761796,1024,51974,51989,17032
LULESH-64,HPC,64,11438062,True,True,11.242228799004806,1.1381630562542147,1024,49554,49759,17032
HPCG-8,HPC,8,626216,False,False,1.8303919319878332,1.0,1024,9315,9435,840
HPCG-8,HPC,8,626216,False,True,2.4857983109832276,0.736339679651582,1024,9071,9108,840
HPCG-8,HPC,8,626216,True,False,1.429696425999282,1.2802661451073338,128,7898,7913,840
HPCG-8,HPC,8,626216,True,True,1.7336554740031715,1.0557991247022618,128,7660,7697,840
ICON-8,HPC,8,295072,False,False,2.1119658469979186,1.0,1024,23908,24051,707
ICON-8,HPC,8,295072,False,True,2.7506395500095095,0.7678090162670049,1024,23692,23725,707
ICON-8,HPC,8,295072,True,False,1.6802748719928786,1.256916878423014,128,22543,22554,707
ICON-8,HPC,8,295072,True,True,1.9834033749939408,1.0648191253604025,128,22326,22359,707
Grok-314B-256,LLM training,256,114000750,False,False,91.15321980899898,1.0,32768,1117671,1119194,4758
Grok-314B-256,LLM training,256,114000750,False,True,126.5272742829984,0.7204234843874079,32768,1100923,1102190,4758
Grok-314B-256,LLM training,256,114000750,True,False,38.027834681997774,2.397013150268862,4096,1069305,1069493,4758
Grok-314B-256,LLM training,256,114000750,True,True,57.805354144016746,1.576899253690222,4096,1056096,1057337,4758
